company,site,segment
Битрикс24,https://www.bitrix24.ru/,CRM и автоматизация продаж
amoCRM,https://www.amocrm.ru/,CRM для отделов продаж
Мегаплан,https://megaplan.ru/,CRM и управление бизнесом
ПланФикс,https://planfix.ru/,управление задачами и процессами
МойСклад,https://www.moysklad.ru/,облачный учет для торговли
Контур,https://kontur.ru/,B2B SaaS и электронный документооборот
СБИС,https://sbis.ru/,электронный документооборот и автоматизация
Calltouch,https://www.calltouch.ru/,сквозная аналитика и коллтрекинг
CoMagic,https://www.comagic.ru/,коллтрекинг и коммуникации
UIS,https://www.uiscom.ru/,виртуальная АТС и коммуникации
Roistat,https://roistat.com/ru/,маркетинговая аналитика
Mango Office,https://www.mango-office.ru/,виртуальная АТС для бизнеса
Oktell,https://www.oktell.ru/,контакт-центры и телефония
Naumen,https://www.naumen.ru/,enterprise software и контакт-центры
Usedesk,https://usedesk.ru/,helpdesk и клиентская поддержка
Jivo,https://www.jivo.ru/,омниканальные коммуникации
Carrot quest,https://www.carrotquest.io/,маркетинг-автоматизация и чат
Mindbox,https://mindbox.ru/,CDP и маркетинг-автоматизация
Retail Rocket,https://retailrocket.ru/,персонализация для e-commerce
UniSender,https://www.unisender.com/ru/,email-маркетинг
DashaMail,https://dashamail.ru/,email-маркетинг
Sendsay,https://sendsay.ru/,email и omnichannel рассылки
Envybox,https://envybox.io/,виджеты продаж для сайта
LPgenerator,https://lpgenerator.ru/,лендинги и лидогенерация
Tilda,https://tilda.cc/ru/,конструктор сайтов для бизнеса
Nethouse,https://nethouse.ru/,конструктор сайтов и e-commerce
YCLIENTS,https://www.yclients.com/,онлайн-запись и CRM
Контур.Маркет,https://kontur.ru/market/,учет для розницы
Эвотор,https://evotor.ru/,кассы и сервисы для бизнеса
АТОЛ,https://www.atol.ru/,кассовые решения для бизнеса
Первый Бит,https://www.1cbit.ru/,интегратор 1С и автоматизация
K50,https://k50.ru/,performance-маркетинг и автоматизация рекламы
eLama,https://elama.ru/,сервис управления рекламой
Click.ru,https://click.ru/,платформа интернет-рекламы
LPTracker,https://lptracker.ru/,CRM и коллтрекинг
Бипиум,https://bipium.ru/,no-code CRM и учетные системы
ELMA365,https://elma365.com/ru/,low-code BPM и CRM
Comindware,https://www.comindware.ru/,BPM и управление процессами
Pyrus,https://pyrus.com/ru/,управление задачами и процессами
Пачка,https://www.pachca.com/,корпоративный мессенджер
Битрикс24 Энтерпрайз,https://www.1c-bitrix.ru/,корпоративные порталы
InSales,https://www.insales.ru/,платформа интернет-магазинов
AdvantShop,https://www.advantshop.net/,платформа интернет-магазинов
Shop-Script,https://www.shop-script.ru/,платформа интернет-магазинов
MoyGrafik,https://moygrafik.ru/,сервис расписаний и учета
Webim,https://webim.ru/,онлайн-консультант и омниканал
Chat2Desk,https://chat2desk.com/,мессенджеры для бизнеса
Edna,https://edna.ru/,омниканальные коммуникации
TrueConf,https://trueconf.ru/,видеоконференцсвязь для бизнеса
МойОфис,https://myoffice.ru/,офисное ПО для организаций
