Компания,Сайт,Сегмент,Имя контакта,Роль/отдел,Email,Персонализация,Источник персонализации,Источник контакта,Источник email,Статус
Битрикс24,https://www.bitrix24.ru/,CRM и автоматизация продаж,public contact found,Коммерческий отдел,in***@1c-bitrix.ru,"Битрикс24 сейчас закрывает CRM, задачи, сайты и телефонию в одном продукте — при таком охвате функций у вас наверняка несколько разных ICP, которые стоит тестировать по отдельности.",bitrix24.ru,redacted in public portfolio,bitrix24.ru/about/contacts.php,email дозаполнен; masked public demo
amoCRM,https://www.amocrm.ru/,CRM для отделов продаж,public contact found,Клиентский отдел,su***@amocrm.ru,"amoCRM позиционирует себя как CRM именно для продаж, а не для всего сразу — значит ваша аудитория уже понимает ценность воронки и может оценить дополнительный канал лидов.",amocrm.ru,redacted in public portfolio,amocrm.ru/contacts/,email найден на сайте; masked public demo
Мегаплан,https://megaplan.ru/,CRM и управление бизнесом,public contact found,Коммерческий отдел,in***@megaplan.ru,"Мегаплан подходит для производства, оптовых продаж и стройки — это B2B-ниши, где холодный email работает особенно хорошо из-за длинного цикла сделки.",megaplan.ru,redacted in public portfolio,megaplan.ru,email найден на сайте; masked public demo
ПланФикс,https://planfix.ru/,управление задачами и процессами,public contact found,Клиентский отдел,su***@planfix.ru,"ПланФикс — центр управления компанией с задачами, проектами и планированием. Продукт гибкий, но именно поэтому нужно точно попадать в боль конкретного сегмента при аутриче.",planfix.ru,redacted in public portfolio,startpack.ru,email дозаполнен; masked public demo
МойСклад,https://www.moysklad.ru/,облачный учет для торговли,public contact found,Клиентский отдел,su***@moysklad.ru,"МойСклад — первая в РФ облачная ERP для малого бизнеса, заявляете экономию до 50% при автоматизации магазина. Это сильный оффер, который можно усилить точечным аутричем на торговые компании.",moysklad.ru,redacted in public portfolio,moysklad.ru,email найден на сайте; masked public demo
Контур,https://kontur.ru/,B2B SaaS и ЭДО,public contact found,Коммерческий отдел,in***@skbkontur.ru,"У Контура широкий B2B-портфель: ЭДО, отчётность, банк, маркет — при таком количестве продуктов каждый можно продвигать через отдельную аутрич-кампанию с разным ICP.",kontur.ru,redacted in public portfolio,whoiswho.comnews.ru,email дозаполнен; masked public demo
СБИС,https://sbis.ru/,ЭДО и автоматизация,public contact found,Коммерческий отдел,te***@tensor.ru,"СБИС (Saby) объединяет документооборот, бухгалтерию, задачи и HR в одной системе. Ваш рынок — компании, которые переезжают с разрозненных решений, и их можно точно вычислить через аутрич.",sbis.ru,redacted in public portfolio,sbis.ru,email найден на сайте; masked public demo
Calltouch,https://www.calltouch.ru/,сквозная аналитика и коллтрекинг,public contact found,Отдел продаж,sa***@calltouch.net,"Calltouch закрывает привлечение, конвертацию и аналитику клиентов. Видел, что запустили Предикт для AI-квалификации звонков — компания явно растёт и тестирует новые каналы.",calltouch.ru,redacted in public portfolio,calltouch.ru,email найден на сайте; masked public demo
CoMagic,https://www.comagic.ru/,коллтрекинг и коммуникации,public contact found,Коммерческий отдел,in***@uiscom.ru,"CoMagic — единая система управления коммуникациями для маркетинга и продаж. Ваши клиенты уже следят за метриками, значит разговор про ROI аутрича будет на их языке.",comagic.ru,redacted in public portfolio,comagic.ru,email найден на сайте; masked public demo
UIS,https://www.uiscom.ru/,виртуальная АТС,public contact found,Коммерческий отдел,in***@uiscom.ru,"UIS позиционируется как единая платформа коммуникаций для маркетинга и продаж — это B2B-продукт с понятным ROI, который хорошо продаётся через холодный email.",uiscom.ru,redacted in public portfolio,uiscom.ru,email найден на сайте; masked public demo
Roistat,https://roistat.com/ru/,маркетинговая аналитика,public contact found,Коммерческий отдел,ma***@roistat.com,У Roistat 28 инструментов для маркетологов и руководителей продаж. Платформа помогает оптимизировать рекламу — а значит ваши клиенты уже мыслят в терминах стоимости лида и конверсий.,roistat.com,redacted in public portfolio,roistat.com,email найден на сайте; masked public demo
